名前	グループ	プロファイル	有効	操作	優先	プログラム	ローカル アドレス	リモート アドレス	プロトコル	ローカル ポート	リモート ポート	承認されているユーザー	承認されているコンピューター	承認されたローカル プリンシパル	ローカル ユーザー オーナー	アプリケーション パッケージ	
ネットワーク探索 (WSD イベント受信)	ネットワーク探索	すべて	いいえ	許可	いいえ	System	任意	任意	TCP	5357	任意	任意	任意	任意	任意	任意	
ネットワーク探索 (WSD 受信)	ネットワーク探索	すべて	いいえ	許可	いいえ	%SystemRoot%\system32\svchost.exe	任意	ローカル サブネット	UDP	3702	任意	任意	任意	任意	任意	任意	
パフォーマンス ログと警告 (DCOM 受信)	パフォーマンス ログと警告	ドメイン	いいえ	許可	いいえ	%systemroot%\system32\svchost.exe	任意	任意	TCP	135	任意	任意	任意	任意	任意	任意	
パフォーマンス ログと警告 (DCOM 受信)	パフォーマンス ログと警告	プライベート, パブリック	いいえ	許可	いいえ	%systemroot%\system32\svchost.exe	任意	ローカル サブネット	TCP	135	任意	任意	任意	任意	任意	任意	
パフォーマンス ログと警告 (TCP 受信)	パフォーマンス ログと警告	ドメイン	いいえ	許可	いいえ	%systemroot%\system32\plasrv.exe	任意	任意	TCP	任意	任意	任意	任意	任意	任意	任意	
パフォーマンス ログと警告 (TCP 受信)	パフォーマンス ログと警告	プライベート, パブリック	いいえ	許可	いいえ	%systemroot%\system32\plasrv.exe	任意	ローカル サブネット	TCP	任意	任意	任意	任意	任意	任意	任意	
ファイル サーバー リモート管理 (DCOM 受信)	ファイル サーバー リモート管理	すべて	はい	許可	いいえ	%systemroot%\system32\svchost.exe	任意	任意	TCP	135	任意	任意	任意	任意	任意	任意	
ファイル サーバー リモート管理 (SMB 受信)	ファイル サーバー リモート管理	すべて	はい	許可	いいえ	System	任意	任意	TCP	445	任意	任意	任意	任意	任意	任意	
ファイル サーバー リモート管理 (WMI 受信)	ファイル サーバー リモート管理	すべて	はい	許可	いいえ	%systemroot%\system32\svchost.exe	任意	任意	TCP	RPC 動的ポート	任意	任意	任意	任意	任意	任意	
ファイルとプリンターの共有 (LLMNR UDP 受信)	ファイルとプリンターの共有	パブリック	はい	許可	いいえ	%SystemRoot%\system32\svchost.exe	任意	ローカル サブネット	UDP	5355	任意	任意	任意	任意	任意	任意	
ファイルとプリンターの共有 (LLMNR UDP 受信)	ファイルとプリンターの共有	ドメイン, プライベート	いいえ	許可	いいえ	%SystemRoot%\system32\svchost.exe	任意	ローカル サブネット	UDP	5355	任意	任意	任意	任意	任意	任意	
ファイルとプリンターの共有 (NB セッション受信)	ファイルとプリンターの共有	パブリック	はい	許可	いいえ	System	任意	任意	TCP	139	任意	任意	任意	任意	任意	任意	
ファイルとプリンターの共有 (NB セッション受信)	ファイルとプリンターの共有	ドメイン, プライベート	いいえ	許可	いいえ	System	任意	任意	TCP	139	任意	任意	任意	任意	任意	任意	
ファイルとプリンターの共有 (NB データグラム受信)	ファイルとプリンターの共有	ドメイン, プライベート	いいえ	許可	いいえ	System	任意	任意	UDP	138	任意	任意	任意	任意	任意	任意	
ファイルとプリンターの共有 (NB データグラム受信)	ファイルとプリンターの共有	パブリック	はい	許可	いいえ	System	任意	任意	UDP	138	任意	任意	任意	任意	任意	任意	
ファイルとプリンターの共有 (NB 名受信)	ファイルとプリンターの共有	パブリック	はい	許可	いいえ	System	任意	任意	UDP	137	任意	任意	任意	任意	任意	任意	
ファイルとプリンターの共有 (NB 名受信)	ファイルとプリンターの共有	ドメイン, プライベート	いいえ	許可	いいえ	System	任意	任意	UDP	137	任意	任意	任意	任意	任意	任意	
ファイルとプリンターの共有 (SMB 受信)	ファイルとプリンターの共有	パブリック	はい	許可	いいえ	System	任意	任意	TCP	445	任意	任意	任意	任意	任意	任意	
ファイルとプリンターの共有 (SMB 受信)	ファイルとプリンターの共有	ドメイン, プライベート	いいえ	許可	いいえ	System	任意	任意	TCP	445	任意	任意	任意	任意	任意	任意	
ファイルとプリンターの共有 (Spooler Service - RPC)	ファイルとプリンターの共有	パブリック	はい	許可	いいえ	%SystemRoot%\system32\spoolsv.exe	任意	任意	TCP	RPC 動的ポート	任意	任意	任意	任意	任意	任意	
